abbrev,player_count,link
CONCACAF,175,https://fbref.com/en/country/players/GRN/Grenada-Football-Players
CONCACAF,194,https://fbref.com/en/country/players/GLP/Guadeloupe-Football-Players
AFC,109,https://fbref.com/en/country/players/GUM/Guam-Football-Players
CONCACAF,316,https://fbref.com/en/country/players/GUA/Guatemala-Football-Players
CAF,285,https://fbref.com/en/country/players/GUI/Guinea-Football-Players
CAF,149,https://fbref.com/en/country/players/GNB/Guinea-Bissau-Football-Players
CONCACAF,152,https://fbref.com/en/country/players/GUY/Guyana-Football-Players
CONCACAF,282,https://fbref.com/en/country/players/HAI/Haiti-Football-Players
CONCACAF,303,https://fbref.com/en/country/players/HON/Honduras-Football-Players
AFC,203,https://fbref.com/en/country/players/HKG/Hong-Kong-Football-Players
UEFA,1787,https://fbref.com/en/country/players/HUN/Hungary-Football-Players
UEFA,461,https://fbref.com/en/country/players/ISL/Iceland-Football-Players
AFC,1096,https://fbref.com/en/country/players/IND/India-Football-Players
AFC,350,https://fbref.com/en/country/players/IDN/Indonesia-Football-Players
AFC,1174,https://fbref.com/en/country/players/IRN/Iran-Football-Players
AFC,296,https://fbref.com/en/country/players/IRQ/Iraq-Football-Players
UEFA,562,https://fbref.com/en/country/players/ISR/Israel-Football-Players
UEFA,7477,https://fbref.com/en/country/players/ITA/Italy-Football-Players
CONCACAF,425,https://fbref.com/en/country/players/JAM/Jamaica-Football-Players
AFC,2540,https://fbref.com/en/country/players/JPN/Japan-Football-Players
AFC,221,https://fbref.com/en/country/players/JOR/Jordan-Football-Players
UEFA,307,https://fbref.com/en/country/players/KAZ/Kazakhstan-Football-Players
CAF,223,https://fbref.com/en/country/players/KEN/Kenya-Football-Players
AFC,252,https://fbref.com/en/country/players/PRK/Korea-DPR-Football-Players
AFC,1391,https://fbref.com/en/country/players/KOR/Korea-Republic-Football-Players
UEFA,293,https://fbref.com/en/country/players/KVX/Kosovo-Football-Players
AFC,218,https://fbref.com/en/country/players/KUW/Kuwait-Football-Players
AFC,134,https://fbref.com/en/country/players/KGZ/Kyrgyzstan-Football-Players
AFC,197,https://fbref.com/en/country/players/LAO/Laos-Football-Players
UEFA,275,https://fbref.com/en/country/players/LVA/Latvia-Football-Players
AFC,237,https://fbref.com/en/country/players/LIB/Lebanon-Football-Players
CAF,113,https://fbref.com/en/country/players/LES/Lesotho-Football-Players
CAF,183,https://fbref.com/en/country/players/LBR/Liberia-Football-Players
CAF,165,https://fbref.com/en/country/players/LBY/Libya-Football-Players
UEFA,126,https://fbref.com/en/country/players/LIE/Liechtenstein-Football-Players
UEFA,297,https://fbref.com/en/country/players/LTU/Lithuania-Football-Players
UEFA,248,https://fbref.com/en/country/players/LUX/Luxembourg-Football-Players
AFC,116,https://fbref.com/en/country/players/MAC/Macau-Football-Players
CAF,133,https://fbref.com/en/country/players/MAD/Madagascar-Football-Players
CAF,129,https://fbref.com/en/country/players/MWI/Malawi-Football-Players
AFC,292,https://fbref.com/en/country/players/MAS/Malaysia-Football-Players
AFC,170,https://fbref.com/en/country/players/MDV/Maldives-Football-Players
CAF,354,https://fbref.com/en/country/players/MLI/Mali-Football-Players
UEFA,224,https://fbref.com/en/country/players/MLT/Malta-Football-Players
CONCACAF,189,https://fbref.com/en/country/players/MTQ/Martinique-Football-Players
CAF,115,https://fbref.com/en/country/players/MTN/Mauritania-Football-Players
CAF,93,https://fbref.com/en/country/players/MRI/Mauritius-Football-Players
CONCACAF,2124,https://fbref.com/en/country/players/MEX/Mexico-Football-Players
UEFA,315,https://fbref.com/en/country/players/MDA/Moldova-Football-Players
AFC,126,https://fbref.com/en/country/players/MNG/Mongolia-Football-Players
UEFA,408,https://fbref.com/en/country/players/MNE/Montenegro-Football-Players
CONCACAF,94,https://fbref.com/en/country/players/MSR/Montserrat-Football-Players
CAF,605,https://fbref.com/en/country/players/MAR/Morocco-Football-Players
CAF,144,https://fbref.com/en/country/players/MOZ/Mozambique-Football-Players
AFC,214,https://fbref.com/en/country/players/MYA/Myanmar-Football-Players
CAF,123,https://fbref.com/en/country/players/NAM/Namibia-Football-Players
AFC,170,https://fbref.com/en/country/players/NEP/Nepal-Football-Players
UEFA,3866,https://fbref.com/en/country/players/NED/Netherlands-Football-Players
OFC,159,https://fbref.com/en/country/players/NCL/New-Caledonia-Football-Players
OFC,308,https://fbref.com/en/country/players/NZL/New-Zealand-Football-Players
CONCACAF,194,https://fbref.com/en/country/players/NCA/Nicaragua-Football-Players
CAF,129,https://fbref.com/en/country/players/NIG/Niger-Football-Players
CAF,1020,https://fbref.com/en/country/players/NGA/Nigeria-Football-Players
UEFA,432,https://fbref.com/en/country/players/MKD/North-Macedonia-Football-Players
UEFA,516,https://fbref.com/en/country/players/NIR/Northern-Ireland-Football-Players
